Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
ATMEGA328-AURCT-ND,ATMEL (VA),ATMEGA328-AUR,,1,0,0,17 Weeks,IC MCU 8BIT 32KB FLASH 32TQFP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2013
1428-1009-1-ND,INVENSENSE (VA),MPU-9150,,1,0,0,16 Weeks,GYRO/ACCELEROMETER 9-AXIS 24LGA,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
MBRA210LT3GOSCT-ND,ON SEMICONDUCTOR (VA),MBRA210LT3G,,2,0,0,7 Weeks,DIODE SCHOTTKY 10V 2A SMA,No delivery date available,RoHS Compliant,Lead free,Unaffected Dec-2013
754-1122-1-ND,KINGBRIGHT COMPANY LLC (VA),APT1608SRCPRV,,3,0,0,6-8 Weeks,LED 1.6X0.8MM 640NM RED CLR SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
1276-3027-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL21X106MAYNNNE,,6,0,0,10 Weeks,CAP CER 10UF 25V 20% X6S 0805,,RoHS Compliant,Lead free,Unaffected Jun-2014
445-1605-1-ND,TDK CORPORATION (VA),C2012X7R1A475M125AC,,6,0,0,12 Weeks,CAP CER 4.7UF 10V 20% X7R 0805,,RoHS Compliant,Lead free,Unaffected Apr-2011
399-1176-1-ND,KEMET (VA),C0805C104M5UACTU,,3,0,0,6 Weeks,CAP CER 0.1UF 50V 20% Z5U 0805,,RoHS Compliant,Lead free,Unaffected Dec-2013
P1.0KACT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-6GEYJ102V,,3,0,0,6 Weeks,RES SMD 1K OHM 5% 1/8W 0805,,RoHS Compliant,Lead free,Not Available
RMCF0805JT330RCT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0805JT330R,,3,0,0,9 Weeks,RES SMD 330 OHM 5% 1/8W 0805,,RoHS Compliant,Lead free,Unaffected Jun-2014
RMCF0805FT10K0CT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0805FT10K0,,10,0,0,9 Weeks,RES SMD 10K OHM 1% 1/8W 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
P2.00KCCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-6ENF2001V,,10,0,0,14 Weeks,RES SMD 2K OHM 1% 1/8W 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
P36KACT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-6GEYJ363V,,10,0,0,6 Weeks,RES SMD 36K OHM 5% 1/8W 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
P4.3KACT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-6GEYJ432V,,10,0,0,6 Weeks,RES SMD 4.3K OHM 5% 1/8W 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
MCP73831T-2ATI/OTCT-ND,MICROCHIP TECHNOLOGY (VA),MCP73831T-2ATI/OT,,2,0,0,4 Weeks,IC CONTROLLR LI-ION 4.2V SOT23-5,,RoHS Compliant,Lead free,Unaffected Dec-2013
576-1259-1-ND,MICREL INC (VA),MIC5205-3.3YM5 TR,,2,0,0,12 Weeks,IC REG LDO 3.3V 0.15A SOT23-5,,RoHS Compliant,Lead free,Unaffected Dec-2013
